Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ukraine,MtCO2e,688.8,651.9,565.9,492.8,410.8,395.8,344,325.8,306.5,303.2,295.2,298.1,301.2,326.2,302.5,290.3,298,305.7,294.7,249.4,266.3,279.5,273.9,265.1,234.2,187.7,197.6
United Arab Emirates,MtCO2e,54.09,60.03,58.13,60.53,66.31,70.36,73.41,79.49,81.14,83.23,82.35,93.86,95.48,100.55,106.7,112.69,116.75,125.84,148.41,150.41,156.35,159.91,170.36,178.66,178.36,188.56,193.66
Argentina,MtCO2e,104,109.44,110.59,111.46,118.9,121.29,131.09,134.4,137.7,140.94,140.55,129.95,123.13,132.92,148.19,150.76,160.06,167.23,178.19,170.54,175.39,182.83,187.5,182.97,186.5,192.1,192.4
Vietnam,MtCO2e,17.5,17,17.7,22.62,24.72,27.99,31.5,36.79,40.91,40.96,44.91,49.36,57.86,60.95,74.05,79.76,82.82,90.79,101.99,112.69,127.58,126.68,125.95,131.15,144.89,169.79,188.09
Iraq,MtCO2e,60.76,44.71,66.66,87.91,99.01,95.31,97.51,115.13,80.78,62.65,72.35,82.05,76.95,71.41,74.43,87.1,82.68,75.93,83.64,104.99,117.69,127.57,148.43,158.25,164.21,153.81,163.31
Netherlands,MtCO2e,148.06,153.96,153.02,157.87,156.87,164.13,173.58,166.02,166.52,161.02,161.72,166.93,167.11,170.31,171.65,167.05,162.95,163.71,164.66,159.55,170.35,158.21,156.35,156.05,148.71,156.31,157.31
Venezuela,MtCO2e,100.77,99.57,101.92,107.04,107.2,113.39,127.23,132.36,128.84,116.96,125.5,130.09,131.67,128.9,135.46,152.26,140.42,144.78,177.29,177.67,184.52,162.89,183.69,178.41,180.93,169.93,156.73
Pakistan,MtCO2e,57.92,57.2,63.7,70.2,73.1,79.2,82.2,85.5,86.6,95,94.5,95.4,98.2,100.6,112.9,114.9,124.5,136.5,130.5,133.7,129.5,131.3,132.96,133.86,141.76,150.76,153.66
Algeria,MtCO2e,64.93,63.95,63.11,70.39,68.71,69.85,68.41,69.67,71.17,74.18,74.69,70.99,76.31,79.72,80.02,83.35,87.16,93.44,97.44,104.89,104.75,109.86,118.56,122.58,130.38,137.68,135.08
Philippines,MtCO2e,38,37.3,40.8,44,47.5,57.2,62.3,69,69.5,67.1,68.1,67.96,67.25,69.48,70.98,71.98,65.98,69.38,71.58,71.98,77.38,78.5,80.84,90.14,95.87,104.17,115.07
Nigeria,MtCO2e,66.35,73.95,84.85,83.04,79.56,80.5,86.03,82.44,75.42,73.6,75.09,84.26,85.41,87.9,87.7,97.31,90.75,88.29,87.64,70.36,84.88,90.77,85.12,102.55,107.33,102.23,105.63
Czech Republic,MtCO2e,150.2,136.9,131.7,128.9,122.5,123.1,124.7,122.8,116.8,110,121.2,121.1,117,121.2,121.8,118.3,118.9,121.5,116.3,109.7,112.5,109.3,105.8,101.5,98.5,99.7,101.4
Belgium,MtCO2e,106.2,111,109.3,107.2,112,111.4,116.7,113.5,116.2,112.3,113.9,115.3,107.6,112.5,111.1,107.4,105.5,101.8,103.6,96.8,103.8,92.8,92.5,93.4,87.4,92.7,91.6
Kuwait,MtCO2e,29.11,36.07,23.13,29.33,33.63,33.23,32.33,33.63,39.73,43.63,47.23,50.92,53.56,55.42,58.11,66.55,68.89,68.04,71.88,78.78,77.38,78.68,77.64,87.28,81.88,90.88,90.48
