Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Pakistan,MtCO2e,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,20.53,20.53,20.53,20.53,20.53,22,22,22,22,22,28.6,28.6,28.6,28.6,28.6,28.6
Republic of Congo,MtCO2e,25.31,25.31,25.31,25.31,25.31,25.31,14.32,14.48,14.35,14.42,14.04,18.58,15.36,23.12,24.25,30.17,26.5,22.44,18.82,18.2,24.68,30.25,28.85,29.72,17.79,27.51,28.23
Guyana,MtCO2e,16.59,16.59,16.59,16.59,16.59,16.59,9.73,9.57,12.16,8.7,8.52,11.49,12.69,33.59,11.2,18.35,13.25,12.66,14.46,15.92,24.85,18.94,22.35,20.5,26.64,34.97,28.17
Honduras,MtCO2e,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.33,28.6,28.6,28.6,28.6,28.6,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87
Uganda,MtCO2e,21.02,21.02,21.02,21.02,21.02,21.02,21.02,20.65,21.31,20.86,20.94,19.49,21.32,22.24,22.78,23.08,27.32,24.86,26.08,26.45,25.92,26.7,26.57,26.85,26.78,27.34,26.26
Chad,MtCO2e,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,7.33,7.33,7.33,7.33,7.33,25.67,25.67,25.67,25.67,25.67,24.93,24.93,24.93,24.93,24.93,24.93
Madagascar,MtCO2e,41.85,41.85,41.85,41.85,41.85,41.85,41.16,40.58,41.35,40.89,39.88,28.98,24.28,25.16,26.58,27.25,34.76,36.14,33.8,38.65,37.38,25.05,22.26,26.45,24.49,22.83,23.34
Cambodia,MtCO2e,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,30.8,30.8,30.8,30.8,30.8,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73,22.73
Bangladesh,MtCO2e,23.57,23.57,23.57,23.57,23.57,23.57,23.2,23.17,23.26,23.28,23.16,22.15,22.11,22.15,22.98,21.94,12,11.86,12.42,11.51,13.01,20.48,19.47,19.55,19.66,19.93,19.43
Mongolia,MtCO2e,21.21,21.21,21.21,21.21,21.21,21.21,21.16,24.83,20.84,20.72,22.85,19.21,21.34,18.4,19.21,18.66,24.82,24.17,23.6,19.72,19.16,20,20.1,19.68,19.33,22.01,19.37
Ethiopia,MtCO2e,30.83,30.83,30.83,30.92,30.92,30.92,26.06,24.39,27.09,26.55,23.64,29.54,36.44,34.81,34.16,26.8,32.13,24.09,30.44,29.19,28.83,12.61,18.86,22.19,13.18,13.42,17.84
Laos,MtCO2e,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2
Guinea,MtCO2e,15.34,15.34,15.34,15.34,15.34,15.34,13.94,13.79,13.84,14.01,13.91,13.91,14.15,15.69,16.73,16,16.27,16.97,14.5,15.44,15.1,15.57,14.51,14.95,15.33,14.53,15.39
North Korea,MtCO2e,12.19,12.19,12.19,12.19,12.19,12.19,12.17,12.17,12.17,12.17,12.17,11.81,11.8,11.8,12,11.8,14.01,14,14.11,14.03,14,14.08,14.01,14.01,14.04,14.01,14.01
Central African Republic,MtCO2e,14.02,14.02,14.02,14.02,14.02,14.02,13.98,13.98,13.98,13.98,13.99,13.98,13.98,13.98,13.99,13.98,13.25,13.25,13.31,13.25,13.25,13.25,13.26,13.25,13.26,13.27,13.79
Thailand,MtCO2e,11.27,11.27,11.27,11.27,11.27,11.27,11.12,11.14,11.27,11.13,11.12,4.17,4.51,4.18,5.68,4.2,-0.93,-0.92,-0.91,-0.91,-0.56,13.76,13.76,13.76,14.22,13.76,13.78
Somalia,MtCO2e,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,17.6,17.6,17.6,17.6,17.6,15.4,15.4,15.4,15.4,15.4,13.2,13.2,13.2,13.2,13.2,13.2
Benin,MtCO2e,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,10.53,10.53,10.53,10.53,10.53,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54
