Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,MtCO2e,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.3,0.3
Bolivia,MtCO2e,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2
Benin,MtCO2e,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.3,0.5,0.1,0.2,,,,
Bhutan,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,MtCO2e,3.1,3.9,4,4.8,5.6,5.8,6.6,8,8.2,10.7,11.3,12.2,13.6,13.4,13.5,14.3,14.5,15.6,19.1,16.9,18.5,20.1,18.9,17.9,18.6,20.6,17.8
Republic of Congo,MtCO2e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Bosnia and Herzegovina,MtCO2e,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,
Botswana,MtCO2e,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,
Burkina Faso,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,MtCO2e,1.9,2,2.2,2.1,2.6,2.8,2.7,2.9,2.7,2.6,2.6,3,2.7,2.7,3,2.9,3.5,3.2,3.5,3.6,4.4,4.8,6.7,3.9,4.7,4.8,5.1
Chile,MtCO2e,1.2,1.2,1.2,1.3,1.7,1.7,1.4,1.7,2.3,2.4,3.1,3.3,3.2,3.9,4.2,4.4,5.1,5.2,5.3,3.9,2.8,2.9,2.6,2.6,2.6,2.1,2.1
Comoros,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,MtCO2e,6.1,9.2,11.8,14.4,20.5,23.7,28.9,31.8,32,33.6,32.5,31.8,31.7,34.9,36.5,40.9,42.5,40.7,40.9,38.1,41.1,40.4,39.6,39.7,40.1,43.6,48.7
Germany,MtCO2e,21.3,19.3,19.2,21.4,22.1,22.2,22.5,23.6,23.8,25.1,26.3,25.6,26.1,27.3,29.2,30.3,31.8,34.3,34.4,32.9,32.7,31.7,32.7,32.4,31.4,31.7,34.8
France,MtCO2e,17.3,16.8,17.8,17.8,17.6,18.4,19.4,20.5,22.1,23.4,24.2,22.7,22.5,23,25.1,24.6,25.6,26.5,25.5,23.8,23.9,25.4,24.4,23.6,22.7,23,22.2
India,MtCO2e,5.1,4.9,5,5.4,5.8,6.3,6.6,6.6,6.7,7,7.2,7.3,7.4,8,9.1,10.5,12.3,13.9,13.8,14.7,15.6,16.5,15.8,16.4,17.1,18.5,20.4
Greece,MtCO2e,10.5,9.5,10.7,12.3,13.3,13.8,12.4,12.4,13.6,12.7,13.9,13.4,12.3,12.5,12.7,11.5,12.7,13.2,12.9,11,10.7,11.1,9.2,8.8,8.3,8.2,8.1
Kuwait,MtCO2e,1.1,0.4,2.2,2,2.7,2.9,2.9,3.3,3.4,3.2,2.6,2.4,3.1,4.5,4.2,4,4.3,4.9,5.4,3.6,4,5.5,5.4,5.5,6,6.2,6.4
Indonesia,MtCO2e,2.7,1.7,1.7,1.8,1.7,2.5,1.6,2.2,2,1.7,1.6,1.6,1.6,2.3,1.8,1.9,2.1,2.2,2.3,2.4,2.6,2.7,2.9,3.1,3.2,3.3,3.6
Israel,MtCO2e,2,2,2.2,2.5,2.6,2.8,2.6,2.6,2.6,2.4,3,2.7,4.1,4.2,3.9,4,4.2,4.6,3.7,3.5,3.5,3.6,3.5,3.3,2.9,3.5,3.4
Iraq,MtCO2e,1.4,0.9,1,1.1,1.3,1.3,1.2,1.5,1.7,1.8,2.1,2.2,2.1,1.8,2.2,2.3,2.6,2.6,2.7,2.9,2.9,3,1.6,1.9,2.3,2.4,3
Finland,MtCO2e,2.8,2.6,3,2.5,2.1,1.9,2.1,2.3,2.6,2.9,3.1,2.9,3,3.1,2.8,2.9,3.2,3.1,3,2.3,2.3,2.5,2.2,2.3,2.2,2.8,2.8
Egypt,MtCO2e,5.9,5.9,5,5.6,8.8,8.7,10.8,11,8.2,10.1,10.6,8.9,8.5,11.1,8.2,6.9,5.9,6.4,4.3,4.1,4,3.7,3.8,2.6,2.7,2.3,2.3
Kenya,MtCO2e,1.4,1.2,1.4,1.6,1.9,1.6,1.6,1.6,1.5,1.6,1.6,1.7,1.6,1.8,2,2,2.1,2.3,2,2,1.8,2.3,2.3,1.9,1.8,2.1,2.1
Ecuador,MtCO2e,0.9,0.9,1.1,1.8,1.6,1.5,1.9,2.1,0.9,0.8,1.4,1.4,2.1,2.5,3.1,3.1,3,3.1,3.1,3,2.7,2.8,2.4,2.5,2.6,2.2,1.9
Dominican Republic,MtCO2e,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.9,1.1,1.2,1.1,0.9,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.5,1.6
Ethiopia,MtCO2e,0.5,0.6,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.9,0.9,1,1.1,1.2,1.3,1.4
Latvia,MtCO2e,1.7,0.7,0.7,0.8,1,0.6,0.4,0.3,0.1,0.1,0.1,0.7,0.7,0.7,0.7,1,0.8,0.8,1,1.2,1.2,1.1,1.2,1.2,1,1.1,1.4
Guatemala,MtCO2e,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1,0.9,1,1,1.1,1.1,1.1,1.2,1.1,1.3,1.3
Jamaica,MtCO2e,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.9,0.8,0.9,1,1.2,1.3,0.8,0.9,0.9,0.6,1.3,1.2,1.2,1.3
Jordan,MtCO2e,0.7,0.5,0.6,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.9,0.7,0.7,0.8,0.8,1.2,1,1,1,1.1,1.2,1,1.2,1.1,1,0.9,1.2
Iceland,MtCO2e,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.8,1.1
El Salvador,MtCO2e,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.4,0.3,0.5,0.5,0.5,0.5
Equatorial Guinea,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,MtCO2e,0.7,0.8,0.4,0.6,0.4,0.4,0.3,0.4,0.3,0.5,0.4,0.3,0.5,0.5,0.6,0.5,0.8,1,0.9,0.8,0.8,0.7,1.4,1.4,1.1,1,1
Eritrea,MtCO2e,,,0.7,0.5,0.7,0.4,0.5,0.2,,,,,,,,,,,,,,,,,,,
Fiji,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,MtCO2e,0.3,0.3,0.9,0.9,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.7,0.7,0.8,0.8
Gambia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,MtCO2e,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.4,0.4,0.4,0.4
Georgia,MtCO2e,0.6,1,0.8,0.6,0.4,0.2,0.2,0.2,0.3,0.2,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2
Grenada,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,MtCO2e,31.3,33.1,33.5,35.4,37.2,35,31.5,36,38,36.7,36.9,33.7,36.9,37.8,39.2,41.6,39.1,37.5,34.9,30.9,31.4,31.8,32.5,32.5,31.6,33.2,34.7
Iran,MtCO2e,2.8,3.2,3.3,3.5,3.8,3.9,4.2,4.7,4.6,4.6,5,5.1,5,5.2,5.3,5.7,6.3,6.6,8.2,10.1,11.2,10.7,9.6,13.3,15.5,19.2,20.3
Italy,MtCO2e,13,13.3,13,13.2,13,13.7,12.4,13,14.2,12.4,13.8,13.4,13.9,15.4,15.7,16.2,17.1,18,18,16.6,19.1,17.8,17.3,16,15.4,15.6,17
Ireland,MtCO2e,1.1,1.1,1,1.5,1.2,1.5,1.5,1.7,1.8,2,2.2,2.6,2.7,2.7,2.6,2.7,2.8,3.2,3,2.1,2.5,2.3,2,2.3,2.6,2.9,3
Kazakhstan,MtCO2e,2.7,2.5,2.3,0.8,1.1,0.8,0.8,0.7,0.7,0.4,0.2,0.3,0.4,0.3,0.5,0.5,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.7,1.2,1.4
Lebanon,MtCO2e,0.2,0.2,0.3,0.4,0.5,0.7,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.9
Hungary,MtCO2e,0.5,0.4,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.6
