Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kazakhstan,MtCO2e,237.92,247.87,255.95,218.61,196.32,172.76,150.24,127.13,130.65,118.55,114.96,111.69,121.35,136.16,150.07,162.34,180.17,189.1,232.05,204.2,223.56,242.17,241.44,256.38,237.15,232.66,237.53
Egypt,MtCO2e,86.31,88.87,91.75,91.3,86.16,91.55,96.46,103.68,108.94,114.38,111.91,124.1,126.87,130.34,141.78,159.68,168.97,182.01,188.93,195.32,195.86,201.42,212.2,210.04,215.54,222.45,228.05
Spain,MtCO2e,168.29,175.51,185.75,171.44,181.8,193.87,183.42,201.97,209.59,231.62,246.68,248.1,266.02,272.04,288.94,303.85,308.73,321.61,291.08,254.39,240.2,241.56,236.13,209.71,207.92,223.2,214.89
France,MtCO2e,320.28,344.98,333.98,315.58,310.38,318.28,334.18,325.68,347.18,341.28,339.38,288.61,282.85,288.61,289.34,292.12,307.75,299.44,295.25,281.93,286.14,233.47,236.57,236.97,204.96,211.66,212.36
Tanzania,MtCO2e,226.59,226.49,226.49,226.59,226.69,227.39,233.15,222.09,232.08,228.09,211.51,233.78,225.44,238.81,241.83,249.27,228.31,234.97,237.28,229.55,228.36,220.06,214.06,210.86,210.66,216.43,210.61
United Arab Emirates,MtCO2e,54.26,60.38,58.5,60.97,67.14,71.54,74.61,80.38,82.72,84.79,83.42,96.02,98.02,103.41,109.85,116.12,121.13,131.42,155.93,156.92,162.59,166.16,175.5,183.91,183.64,193.84,199.04
Pakistan,MtCO2e,82.71,81.89,88.6,95.41,97.92,104.31,107.43,110.97,111.83,120.41,120.02,120.45,122.93,126.4,139.27,142.24,154.56,168.31,164.26,167.21,163.05,170.67,172.77,174.21,182.57,192.28,194.88
Ukraine,MtCO2e,640.59,603.89,528.52,453.14,369.53,353.05,298.23,280.24,261.32,257.7,249.03,276.34,283.7,306.11,282.93,270.84,281.74,290.73,280.41,231.16,246.88,277.74,273.42,261.05,234.9,190.29,194.48
Vietnam,MtCO2e,-30.76,-30.86,-29.85,-24.95,-22.45,-18.82,-15.15,-9.25,-4.38,-4.08,0.93,33.9,46.79,48.44,62.75,70.35,84.57,94.21,106.36,120.32,138.1,125.18,123.41,131.52,145.16,171.84,194.17
Iraq,MtCO2e,63.85,45.8,66.4,87.74,98.73,95.07,97.26,114.81,80.47,63.61,73.58,83.36,78.42,71.13,74.35,87.28,82.21,75.86,84.25,105.71,118.85,129.07,149.86,160.39,166.71,156.82,166.32
Netherlands,MtCO2e,149.1,155.19,153.99,158.96,158.16,165.08,174.62,167.22,167.68,162.36,163.01,168.51,168.57,171.49,173.23,168.7,162.54,163.31,164.26,159.37,169.7,158.08,155.98,155.65,148.41,155.87,156.86
Paraguay,MtCO2e,72.71,72.71,73.11,73.48,74.06,74.44,74.33,74.76,74.99,74.99,74.25,76.33,76.44,76.57,76.65,76.38,131.73,131.82,132.1,132.21,132.83,146.8,146.95,146.92,147.24,147.81,148.51
Democratic Republic of the Congo,MtCO2e,149.82,148.33,148.1,148.09,147.9,147.83,148.43,148.18,148.44,148.58,147.79,146.6,146.76,147.13,147.3,148.18,148.91,148.31,148.75,148.56,148.87,149.64,148.62,151.15,150.81,148.72,148.43
